"batch.scrambled","consignment.scrambled","country.export.scrambled","country.harvest.scrambled","tonnage","year.scrambled","numPos"
674,2214,5,8,6,4,0
675,1813,2,5,2,4,0
676,1009,2,5,17,2,0
677,1439,5,7,8,3,0
678,527,2,5,4,2,0
679,1900,2,7,17,2,0
680,416,2,5,10,1,0
681,717,3,6,11,4,0
682,2671,5,7,8,3,0
683,1374,5,7,14,4,0
684,1513,5,7,3,3,0
685,802,3,1,15,2,0
686,745,2,5,18,2,0
687,787,5,7,7,4,0
688,1550,5,7,8,4,0
689,255,2,5,18,2,0
690,2354,5,8,15,2,0
691,2381,2,5,8,4,0
692,1042,5,7,7,3,0
693,1681,2,6,14,4,0
694,1116,4,6,17,1,0
695,670,2,5,15,2,0
696,747,5,7,18,2,0
697,469,5,7,6,3,0
698,2164,2,5,17,2,0
699,1614,3,1,13,2,0
700,2069,2,5,15,1,0
701,1975,5,7,8,3,6
702,411,5,8,7,1,0
703,2509,4,6,NA,1,0
704,1228,5,7,15,3,0
705,2361,3,1,12,4,0
706,1798,3,1,14,4,0
707,1559,5,7,1,3,0
708,887,5,7,6,3,0
709,1825,5,8,15,1,0
710,791,5,7,16,1,0
711,1806,4,3,11,4,0
712,2002,5,7,16,4,0
713,2335,2,5,17,4,0
714,2541,5,6,18,2,0
715,328,2,5,20,1,0
716,2137,2,5,9,1,0
717,1540,5,7,16,4,0
718,299,4,3,17,4,0
719,2529,1,4,NA,1,0
720,2059,5,7,7,3,0
721,1766,4,6,11,1,0
722,1645,3,8,5,4,0
723,347,2,5,17,3,0
724,1238,5,7,7,3,0
725,680,3,8,6,1,0
726,945,1,4,7,1,0
727,768,3,1,15,2,0
728,345,5,7,8,2,0
729,511,2,5,16,4,0
730,564,2,5,15,4,2
731,2339,2,5,13,2,0
732,2054,5,8,13,1,0
733,393,4,3,7,3,0
734,1535,5,7,8,3,0
735,1165,2,5,2,1,0
736,2364,5,7,14,3,0
737,943,4,6,12,1,0
738,1052,5,7,13,4,0
739,543,5,7,5,3,0
740,104,2,5,15,2,0
741,372,2,5,18,1,0
742,2595,4,3,7,4,0
743,1522,5,7,18,2,0
744,657,1,4,7,1,0
745,1893,4,6,6,2,0
746,1346,5,7,NA,3,0
747,1576,4,3,15,1,0
748,1499,5,7,13,3,0
749,58,5,8,13,4,0
750,183,2,5,18,2,0
751,1453,2,5,18,4,0
752,2056,4,3,18,4,0
753,2362,5,7,15,3,0
754,1397,3,8,14,2,0
755,2415,5,7,18,2,0
756,991,5,7,16,4,0
757,752,5,8,7,1,0
758,585,2,5,18,2,0
759,1663,5,7,18,3,0
760,430,2,5,6,1,0
761,2114,5,7,8,2,0
762,280,2,5,10,2,0
763,381,2,5,17,2,0
764,420,5,7,16,2,0
765,2231,5,7,8,2,0
766,1580,3,8,6,1,0
767,892,4,3,20,2,0
768,1131,5,7,6,3,0
769,838,5,7,16,2,0
770,654,1,4,NA,1,0
771,107,5,7,18,3,0
772,2675,1,4,7,1,0
773,1892,5,7,18,4,0
774,677,5,7,14,4,0
775,2092,5,7,8,2,0
776,1879,5,7,14,2,0
777,2360,2,5,18,1,0
778,1619,2,5,15,3,0
779,1560,5,7,18,4,0
780,1095,2,7,17,2,0
781,1216,5,7,6,4,0
782,15,5,7,16,3,0
783,894,2,5,14,3,0
784,2372,3,6,12,3,0
785,971,5,7,7,3,0
786,1960,5,7,18,1,0
787,22,5,8,2,4,0
788,2186,2,5,15,2,0
789,582,4,3,13,4,0
790,269,3,6,8,1,0
791,386,4,6,NA,4,0
792,718,5,7,18,4,0
793,1002,5,7,18,3,0
794,1662,5,7,8,3,0
795,2008,2,5,17,1,0
796,1234,5,7,16,3,0
797,786,5,7,10,4,0
798,756,5,7,8,3,0
799,694,5,7,8,1,0
800,2057,2,6,13,2,0
801,1574,5,7,7,3,0
802,1278,5,8,7,1,0
803,845,5,7,13,2,0
804,120,5,7,11,2,0
805,2250,2,5,9,1,0
806,806,2,5,NA,1,0
807,1087,3,8,7,1,0
808,1612,2,8,18,1,0
809,1957,4,6,3,1,0
810,793,5,7,8,4,0
811,2089,3,8,9,2,0
812,1076,5,7,8,4,0
813,19,5,7,8,4,0
814,1004,2,5,7,3,0
815,2532,4,3,20,1,0
816,130,2,5,8,4,0
817,2408,5,7,12,4,0
818,1385,2,5,15,2,0
819,504,3,1,15,4,0
820,1616,5,7,8,1,0
821,248,3,8,NA,1,0
822,326,5,8,17,4,0
823,1233,4,6,6,2,0
824,1909,4,6,17,1,0
825,1968,5,7,5,4,0
826,165,5,7,7,3,0
827,1889,1,4,NA,1,0
828,406,5,7,8,4,0
829,2489,5,7,8,3,0
830,2596,5,7,16,4,0
831,2068,5,7,6,3,0
832,1703,5,7,8,3,0
833,106,4,3,15,1,0
834,1177,2,5,20,2,0
835,1115,2,6,6,4,0
836,244,5,7,8,2,0
837,455,3,1,6,3,0
838,142,5,7,6,3,0
839,2135,3,1,6,1,0
840,2037,2,5,10,1,0
841,417,5,7,13,3,0
842,1788,5,7,8,4,0
843,1823,5,7,14,3,0
844,41,4,6,0,4,0
845,53,2,8,18,1,0
846,95,4,3,18,1,5
847,2437,5,8,7,4,0
848,2578,2,5,18,2,0
849,844,5,7,19,1,8
850,1353,5,7,20,3,0
851,288,5,7,18,4,0
852,744,5,7,8,3,0
853,1231,4,3,18,2,0
854,1082,5,7,15,4,0
855,1470,2,5,18,2,0
856,1299,2,5,5,4,0
857,1925,5,7,8,2,0
858,2438,3,8,5,3,0
859,1943,5,7,19,3,0
860,788,3,1,7,2,0
861,26,5,7,15,3,0
862,594,2,1,15,1,0
863,841,4,3,15,1,0
864,2523,2,6,18,4,0
865,1908,5,7,13,3,0
866,1335,3,6,11,3,0
867,1496,5,7,13,4,0
868,1878,5,7,17,4,0
869,2638,2,5,18,3,0
